gene,Acetic Acid,Citric Acid,"D,L-alpha-Glycerol Phosphate",D-Alanine,D-Fructose,Adenosine,Fumaric Acid,L-Arginine,L-Asparagine,L-Aspartic Acid,L-Glutamic Acid,L-Glutamine,L-Histidine,Glycerol,Glycine,Itaconic Acid,L-Ornithine,L-Phenylalanine,L-Proline,L-Serine,Malonic Acid,L-Alanine,alpha-D-Glucose,Putrescine,Pyruvic Acid,Succinic Acid,alpha-Keto-Glutaric Acid,gamma-Amino Butyric Acid,L-Isoleucine,L-Malic Acid,L-Lactic Acid,L-Leucine,D-Mannitol,2-Aminoethanol,D-Fructose-6-Phosphate,D-Galacturonic Acid,D-Glucose-1-Phosphate,D-Glucose-6-Phosphate,D-Saccharic Acid,D-Glucuronic Acid,D-Sorbitol,D-Xylose,Glycolic Acid,Glycyl-L-Aspartic Acid,L-Methionine,2-Deoxy-D-Ribose,Thymidine,L-Valine,Maltose,Maltotriose,m-Inositol,Mucic Acid,L-Arabinose,Acetoacetic Acid,D-Malic Acid,D-Ribose,D-Serine,Inosine,L-Threonine,Glycyl-L-Glutamic Acid,Glycyl-L-Proline,Hydroxy-L-Proline,Butyric Acid,L-Alanyl-Glycine,L-Lysine,p-Hydroxy Phenyl Acetic Acid,Propionic Acid,Uridine,beta-Hydroxy Butyric Acid,D-Gluconic Acid,4-Hydroxy Benzoic Acid,"D,L-Carnitine",D-Mannose,D-Tartaric Acid,Formic Acid,L-Tartaric Acid,D-Trehalose,m-Tartaric Acid,Citraconic Acid
PA14_02450,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_02470,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_02680,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_51330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_54450,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44740,1,1,1,1,1,0.777067888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,0.777067888,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44710,1,1,1,1,1,0.777067888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,0.777067888,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44760,1,1,1,1,1,0.777067888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,0.777067888,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44060,0.652104213,0.918936622,1,1,1,1,1,0.97815632,1,1,0.918936622,0.918936622,0.947217578,1,1,0.918936622,0.97815632,1,0.97815632,1,0.652104213,1,1,0,1,0,0.886117457,0,0.316144107,1,1,1,1,0.97815632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,0.986292171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.081586774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_44050,0.652104213,0.918936622,1,1,1,1,1,0.97815632,1,1,0.918936622,0.918936622,0.947217578,1,1,0.918936622,0.97815632,1,0.97815632,1,0.652104213,1,1,0,1,0,0.886117457,0,0.316144107,1,1,1,1,0.97815632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,0.986292171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.081586774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
